Point ID,Y,Z
333,166.55479836666757,113.55562962901882
334,182.30018435533003,129.06472814949032
335,192.27262005671463,125.50803113554778
336,200.0,112.5
337,192.11116518840277,116.61289094783935
338,191.7249678438225,106.25
339,184.78295808694114,88.45565079046767
340,186.00701180847472,111.65173473907251
341,180.69515126346877,100.30170225311856
342,190.76342691303,96.37382228565208
343,200.0,87.5
344,112.95688568454293,114.08030913395893
345,105.0,80.5
346,87.99980050753997,59.000598477380095
347,82.06292323007419,72.23720471806787
348,66.00052732937777,101.96571318569346
349,38.25,158.0
350,40.663359009691646,75.86402293676768
351,32.67605012088723,57.799576827700875
352,0.0,168.75
353,8.551816501415903,177.33312013558083
354,0.0,187.5
355,121.8257261576054,85.76282188632342
356,24.75522417243252,36.0
357,20.77063907855398,27.22465127933701
358,20.77063907855398,43.129996731130326
359,11.879943631729367,43.420157687930526
360,26.332514256579685,50.301305620303005
361,0.0,37.5
362,22.01961070459685,60.382471725290955
363,10.212806530165212,27.723007494347268
364,25.0,0.0
365,28.96354784703886,65.75710850953726
366,37.21681697700151,64.76280377974639
367,13.53733888287651,94.77861489345342
368,46.471912320436196,55.25801800018522
369,0.0,75.0
370,26.644845181729384,80.80558633483655
371,16.724483403608584,81.63680922152689
372,27.254825089246957,22.395326191326227
373,29.583062863120134,14.652822856146647
374,0.0,62.5
375,9.623209269394684,75.14081874792883
376,0.0,12.5
377,15.178554175570543,20.839253871223647
378,43.125,21.92912288100868
379,15.056294917935055,57.652228679880054
380,8.586087341249085,51.744543657799056
381,14.608869900205413,65.33816077452613
382,7.854260538478281,61.08896217814796
383,0.0,87.5
384,8.129161162026444,83.90355303650955
385,88.37074490282417,15.281011921347009
386,82.86265106952189,7.929560527835882
387,80.83711831300606,16.889479741751863
388,73.7040468468935,9.901303800550863
389,91.69903327159342,7.426044477886895
390,62.5,0.0
391,66.52215368677967,14.938066450354478
392,62.185356641967886,8.095245734919107
393,62.08440709238393,22.097470278221024
394,53.82244641775075,7.464886074373983
395,53.28185630449253,22.068572697665726
396,37.5,0.0
397,48.9205504812004,14.809342189883752
398,112.06666666666666,59.2
399,105.0,66.0
400,112.62851607662455,73.45549097828419
401,121.8257261576054,73.7195936754263
402,136.8409956570603,66.18891321106207
403,130.4055836630153,72.09213642954343
404,143.9885070396818,80.4401897282824
405,126.9789360102032,61.89716782899756
406,138.3856461364854,74.33221838399845
407,151.91180245207133,67.54838003015358
408,121.49765131487389,66.54227643497228
409,126.25,30.0
410,122.2,49.06666666666666
411,175.79290036100033,185.00704264503017
412,182.56930272871128,178.22371349689612
413,200.0,187.5
414,191.40288284136204,173.20954182451777
415,200.0,162.5
416,187.5,200.0
417,140.00830212587303,191.54307118475285
418,133.81507913516,182.904588600625
419,119.78916463118827,189.7664618758809
420,185.58987650012628,146.1862985677646
421,192.72231718484946,150.32760943587107
422,193.52619327521623,158.10878634557054
